City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
72,comodoro rivadavia,AR,1528902000,-45.87,-67.48,42.8,40,60,9.17
73,upernavik,GL,1528905350,72.79,-56.15,29.29,92,100,3.74
74,uige,AO,1528905350,-7.61,15.06,86.8,0,29,3.18
75,bredasdorp,ZA,1528902000,-34.53,20.04,82.4,0,23,5.82
76,bodden town,KY,1528902000,19.28,-81.25,80.6,40,78,16.11
77,guerrero negro,MX,1528905350,27.97,-114.04,63.85,44,88,3.74
78,bilma,NE,1528905351,18.69,12.92,110.47,0,12,4.63
79,carnarvon,ZA,1528905351,-30.97,22.13,60.43,0,30,14.25
80,ponta do sol,BR,1528905352,-20.63,-46,78.25,12,72,3.96
81,vila franca do campo,PT,1528903800,37.72,-25.43,71.6,75,88,12.75
82,puerto del rosario,ES,1528903800,28.5,-13.86,73.4,20,60,17.22
83,sitka,US,1528905353,37.17,-99.65,74.02,20,92,5.97
84,camacha,PT,1528903800,33.08,-16.33,68,75,72,16.11
85,saint-philippe,CA,1528902900,45.36,-73.48,78.8,1,54,11.41
86,port blair,IN,1528905357,11.67,92.75,84.37,92,97,25.1
87,albany,US,1528903860,42.65,-73.75,69.8,90,68,3.36
88,barrow,AR,1528905182,-38.31,-60.23,50.26,88,72,8.21
89,qorveh,IR,1528905357,35.17,47.8,76.72,92,22,3.18
90,san jeronimo,PE,1528902000,-13.65,-73.37,46.4,90,81,2.39
91,mataura,NZ,1528905299,-46.19,168.86,25.69,24,79,3.18
92,buala,SB,1528905359,-8.15,159.59,78.7,64,100,4.18
93,eyl,SO,1528905359,7.98,49.82,86.62,20,57,22.41
94,abu dhabi,AE,1528902000,24.47,54.37,98.6,0,29,16.11
95,tahe,CN,1528905359,52.34,124.71,51.43,92,98,2.17
96,chuy,UY,1528905099,-33.69,-53.46,52.87,80,93,28.9
97,dzerzhinskoye,RU,1528905360,56.84,95.22,65.11,8,69,3.85
98,vanavara,RU,1528905360,60.35,102.28,64.21,0,50,5.64
99,muros,ES,1528903800,42.77,-9.06,66.2,40,72,10.29
100,auchel,FR,1528903800,50.51,2.47,68,0,49,3.36
101,bubaque,GW,1528902000,11.28,-15.83,91.4,40,55,11.41
102,khatanga,RU,1528905361,71.98,102.47,60.97,8,65,4.63
103,los banos,US,1528904100,37.06,-120.85,75.2,1,67,4.74
104,labuhan,ID,1528905361,-2.54,115.51,72.94,12,95,1.83
105,saint-paul,FR,1528903800,45.22,1.9,68,75,56,14.99
106,petatlan,MX,1528901220,17.52,-101.27,84.2,90,74,1.83
107,baykit,RU,1528905366,61.68,96.39,63.94,36,68,4.29
108,dalby,AU,1528902000,-27.18,151.26,53.6,75,93,2.24
109,yellowknife,CA,1528902540,62.45,-114.38,46.4,90,93,8.05
110,hilo,US,1528901580,19.71,-155.08,66.2,75,88,5.82
111,turukhansk,RU,1528905297,65.8,87.96,66.37,36,76,6.42
112,dingle,PH,1528905368,11,122.67,79.96,68,82,8.21
113,dillon,US,1528901580,45.22,-112.64,57.2,1,44,5.82
114,labytnangi,RU,1528905370,66.66,66.39,47.11,64,75,17.49
115,gigmoto,PH,1528905370,13.78,124.39,83.56,36,98,17.6
116,nouakchott,MR,1528905371,18.08,-15.98,76.72,68,76,1.39
117,rumoi,JP,1528905371,43.93,141.67,44.41,92,100,8.1
118,dikson,RU,1528905373,73.51,80.55,31.09,32,100,13.13
119,chinsali,ZM,1528905377,-10.55,32.07,73.39,0,36,9.22
120,georgetown,GY,1528902000,6.8,-58.16,82.4,75,78,9.17
121,tooele,US,1528902900,40.53,-112.3,73.4,1,35,9.17
122,nikolskoye,RU,1528902000,59.7,30.79,60.8,40,41,4.47
123,bodo,CI,1528905379,5.91,-4.68,87.7,80,66,8.21
124,minador do negrao,BR,1528905379,-9.31,-36.86,76.81,32,80,13.24
125,sambava,MG,1528905379,-14.27,50.17,77.35,88,100,19.73
126,yerbogachen,RU,1528905380,61.28,108.01,64.93,0,44,7.43
127,kahului,US,1528901760,20.89,-156.47,66.2,1,93,3.36
128,clyde river,CA,1528902660,70.47,-68.59,35.6,75,100,21.92
129,ancud,CL,1528905381,-41.87,-73.83,39.1,20,90,2.73
130,beringovskiy,RU,1528905381,63.05,179.32,39.37,0,88,3.4
131,majene,ID,1528905382,-3.54,118.97,81.85,32,100,11.01
132,ahar,IR,1528905382,38.48,47.07,62.77,36,62,3.74
133,ilhabela,BR,1528905382,-23.78,-45.36,72.85,80,98,2.28
134,listvyagi,RU,1528905382,53.68,86.95,65.11,0,78,2.06
135,skjervoy,NO,1528903200,70.03,20.97,44.6,40,65,10.29
136,cape town,ZA,1528902000,-33.93,18.42,73.4,0,35,9.17
137,iqaluit,CA,1528902000,63.75,-68.52,35.6,90,96,20.8
138,fort-shevchenko,KZ,1528905387,44.51,50.26,74.2,0,59,3.62
139,severo-kurilsk,RU,1528905387,50.68,156.12,38.02,92,100,16.26
140,arraial do cabo,BR,1528905600,-22.97,-42.02,80.6,0,65,4.7
141,torbay,CA,1528903560,47.66,-52.73,50,90,93,19.46
142,ahipara,NZ,1528905388,-35.17,173.16,56.65,88,91,9.66
143,bandarbeyla,SO,1528905389,9.49,50.81,79.15,0,79,32.93
144,vuktyl,RU,1528905389,63.86,57.31,52.6,92,96,7.43
145,caravelas,BR,1528905390,-17.73,-39.27,77.62,0,98,10.45
146,waipawa,NZ,1528905390,-39.94,176.59,50.89,92,94,9.44
147,khomutovo,RU,1528905390,52.85,37.45,72.31,0,65,5.97
148,acajutla,SV,1528901400,13.59,-89.83,84.2,40,79,1.12
149,buritis,BR,1528905391,-15.62,-46.42,83.74,0,53,6.87
150,meulaboh,ID,1528905392,4.14,96.13,82.03,48,100,3.4
151,vaini,IN,1528905392,15.34,74.49,70.42,100,98,4.29
152,teya,MX,1528901400,21.05,-89.07,86,75,66,13.87
